Section;h[mm];t[mm];r1[mm];r2[mm];r3[mm];r4[mm];A[cm2];ey[mm];ez[mm];Iy[cm4];Iyz[cm4];Iu[cm4];Iv[cm4];Ip[cm4];Ip,SC[cm4];α[deg];iy[mm];iyz[mm];iu[mm];iv[mm];ip[mm];ip,SC[mm];max Sy[cm3];max Su[cm3];max Sv[cm3];Wy,min[cm3];Wy,max[cm3];Wv,min[cm3];Wv,max[cm3];Wy[cm3];Wu[cm3];Wv[cm3];Wy,cat[cm3];Ay[cm2];Au[cm2];Av[cm2];ySC[mm];It[cm4];Wt[cm3];max ω[cm2];Iω[cm6];iω[mm];Wω[cm4];max Sω[cm4];rv[mm];ru,SC[mm];Wpl,y[cm3];Wpl,y,pure[cm3];Wpl,u[cm3];Wpl,v[cm3];αpl,y;αpl,y,pure;αpl,u;αpl,v;Apl,y[cm2];Apl,u[cm2];Npl[kN];Vpl,y[kN];Vpl,u[kN];Mpl,y[kNm];Mpl,u[kNm];Mpl,v[kNm];ypl[mm];zpl[mm];upl[mm];vpl[mm];Nu[kN];G[kg/m];Am[m2/m];V[cm3/m];Am/V[1/m]
L 60x60x4;60,00;4,00;8,00;4,00;0,00;0,00;4,71;16,00;44,00;15,78;9,26;25,04;6,51;31,55;49,88;-45,00;18,30;14,00;23,10;11,80;25,90;32,50;3,73;4,63;1,20;-2,93;4,09;-2,89;3,09;2,93;5,90;2,89;3,58;1,44;1,90;1,93;-14,00;0,24;0,61;0,00;0,00;0,00;0,00;0,00;45,90;85,50;6,58;5,57;9,52;4,78;2,25;1,90;1,61;1,66;2,32;3,28;110,66;31,48;44,52;1,55;2,18;1,14;-12,00;12,00;-0,10;0,00;110,66;3,70;0,23;471,00;494,69
L 60x60x5;60,00;5,00;8,00;4,00;0,00;0,00;5,82;16,40;43,60;19,37;11,40;30,77;7,97;38,74;61,33;-45,00;18,20;14,00;23,00;11,70;25,70;32,50;4,59;5,72;1,48;-3,60;4,85;-3,43;3,78;3,60;7,25;3,43;4,45;1,78;2,40;2,40;-13,90;0,47;0,93;0,00;0,00;0,00;0,00;0,00;44,40;83,70;8,15;6,85;11,70;5,88;2,26;1,90;1,61;1,72;2,88;4,07;136,75;39,01;55,17;1,91;2,69;1,39;-11,50;11,50;-0,10;0,00;136,75;4,60;0,23;582,00;400,34
L 60x60x6;60,00;6,00;8,00;4,00;0,00;0,00;6,91;16,90;43,10;22,79;13,41;36,20;9,38;45,58;72,17;-45,00;18,20;13,90;22,90;11,70;25,70;32,30;5,42;6,78;1,74;-4,26;5,56;-3,93;4,44;4,26;8,53;3,93;5,29;2,13;2,90;2,86;-13,90;0,79;1,32;0,00;0,00;0,00;0,00;0,00;43,20;82,50;9,66;8,07;13,80;6,96;2,27;1,90;1,62;1,77;3,42;4,84;162,36;46,40;65,62;2,27;3,19;1,64;-11,10;11,10;-0,10;0,00;162,36;5,40;0,23;691,00;337,19
L 60x60x7;60,00;7,00;8,00;4,00;0,00;0,00;7,98;17,30;42,70;26,05;15,23;41,34;10,76;52,10;82,43;-45,00;18,10;13,80;22,80;11,60;25,60;32,10;6,22;7,79;1,99;-4,90;6,26;-4,40;5,06;4,90;9,74;4,40;6,10;2,47;3,41;3,32;-13,80;1,24;1,77;0,00;0,00;0,00;0,00;0,00;42,10;81,10;11,14;9,26;15,82;8,00;2,27;1,89;1,62;1,82;3,95;5,59;187,51;53,66;75,89;2,62;3,66;1,89;-10,60;10,60;0,00;0,00;187,51;6,30;0,23;798,00;291,98
L 60x60x8;60,00;8,00;8,00;4,00;0,00;0,00;9,03;17,70;42,30;29,15;17,04;46,19;12,11;58,30;92,13;-45,00;18,00;13,70;22,60;11,60;25,50;31,90;7,01;8,77;2,24;-5,49;6,85;-4,84;5,66;5,49;10,89;4,84;6,89;2,82;3,95;3,77;-13,70;1,83;2,28;0,00;0,00;0,00;0,00;0,00;41,10;79,90;12,57;10,39;17,77;9,02;2,29;1,89;1,63;1,86;4,48;6,34;212,18;60,78;85,96;2,95;4,12;2,12;-10,10;10,10;0,00;0,00;212,18;7,10;0,23;903,00;258,03
L 60x60x10;60,00;10,00;8,00;4,00;0,00;0,00;11,10;18,50;41,50;34,93;20,17;55,10;14,76;69,86;109,93;-45,00;17,80;13,50;22,30;11,50;25,20;31,50;8,49;10,61;2,69;-6,66;8,00;-5,66;6,79;6,66;12,99;5,66;8,41;3,52;5,10;4,67;-13,50;3,46;3,46;0,00;0,00;0,00;0,00;0,00;39,20;77,40;15,32;12,53;21,45;10,99;2,30;1,88;1,65;1,94;5,50;7,78;260,12;74,62;105,53;3,60;4,99;2,58;-9,20;9,20;0,10;0,00;260,12;8,70;0,23;1110,00;209,91
L 63x63x5;63,00;5,00;9,00;4,50;0,00;0,00;6,14;17,10;45,90;22,42;13,18;35,61;9,24;44,85;70,93;-45,00;19,10;14,70;24,10;12,30;27,00;34,00;5,06;6,31;1,64;-3,98;5,41;-3,83;4,19;3,98;7,99;3,83;4,88;1,87;2,49;2,52;-14,60;0,49;0,98;0,00;0,00;0,00;0,00;0,00;47,70;89,00;8,98;7,58;12,95;6,51;2,26;1,91;1,62;1,70;3,02;4,28;144,23;41,04;58,04;2,11;2,97;1,54;-12,10;12,10;-0,20;0,00;144,23;4,80;0,24;614,00;397,39
L 63x63x6;63,00;6,00;9,00;4,50;0,00;0,00;7,29;17,50;45,50;26,44;15,55;41,99;10,89;52,88;83,67;-45,00;19,00;14,60;24,00;12,20;26,90;33,90;5,99;7,48;1,93;-4,71;6,21;-4,39;4,92;4,71;9,43;4,39;5,82;2,24;3,02;3,01;-14,50;0,84;1,39;0,00;0,00;0,00;0,00;0,00;46,30;87,30;10,67;8,95;15,29;7,70;2,27;1,90;1,62;1,75;3,60;5,09;171,25;48,84;69,08;2,51;3,52;1,82;-11,70;11,70;-0,10;0,00;171,25;5,70;0,24;729,00;334,71
L 63x63x6.5;63,00;6,50;9,00;4,50;0,00;0,00;7,85;17,80;45,20;28,37;16,68;45,06;11,69;56,75;89,79;-45,00;19,00;14,60;24,00;12,20;26,90;33,80;6,44;8,05;2,07;-5,06;6,58;-4,66;5,27;5,06;10,11;4,66;6,27;2,42;3,28;3,25;-14,50;1,06;1,63;0,00;0,00;0,00;0,00;0,00;45,70;86,80;11,49;9,61;16,42;8,29;2,27;1,90;1,62;1,78;3,88;5,49;184,59;52,69;74,52;2,70;3,78;1,96;-11,50;11,50;-0,10;0,00;184,59;6,20;0,24;785,00;310,83
L 65x65x4;65,00;4,00;9,00;4,00;0,00;0,00;5,13;17,10;47,90;20,09;11,77;31,86;8,32;40,18;64,15;-45,00;19,80;15,10;24,90;12,70;28,00;35,40;4,42;5,48;1,43;-3,43;4,86;-3,44;3,63;3,43;6,93;3,44;4,19;1,53;2,01;2,06;-15,10;0,26;0,66;0,00;0,00;0,00;0,00;0,00;49,70;92,40;7,79;6,58;11,23;5,63;2,27;1,92;1,62;1,64;2,52;3,56;120,93;34,19;48,35;1,83;2,58;1,35;-13,10;13,10;-0,20;0,00;120,93;4,00;0,25;513,00;491,23
